Import,Type,Label,pl
,,caregiver1_job,Jaki zawód Pani/Pan wykonuje?
,,caregiver1_last_job,Jaki był Pani/Pana ostatni wykonywany zawód?
,,caregiver1_lang_work,Język najczęściej używany przez Panią/Pana w pracy:
yes,,caregiver1_ed,Pani/Pana wykształcenie:
,,caregiver1_ed_country,W jakim kraju Pani/Pan zdobył(a) ostatni poziom swojego wykształcenia?
,,caregiver1_native,Język <b>polski</b>:...89
,,caregiver1_other1,"Język <span class=""qLabel""><b>inny 1</b></span>:...90"
,,caregiver1_other2,"Język <span class=""qLabel""><b>inny 2</b></span>:...91"
,,caregiver1_other3,"Język <span class=""qLabel""><b>inny 3</b></span>:...92"
,,caregiver2_birth_country,Kraj urodzenia drugiego rodzica/opiekuna:
,,is_caregiver2_work,Czy obecnie drugi rodzic/opiekun dziecka pracuje zawodowo?
,,caregiver2_job,Jaki zawód wykonuje drugi rodzic/opiekun?
,,caregiver2_last_job,Jaki był ostatni wykonywany zawód drugiego rodzica/opiekuna?
,,caregiver2_lang_work,Język najczęściej używany przez drugiego rodzica/opiekuna w pracy:
,,caregiver2_ed,Wykształcenie drugiego rodzica/opiekuna:
,,caregiver2_ed_country,W jakim kraju drugi rodzic/opiekun zdobył ostatni poziom swojego wykształcenia?
,,caregiver2_native,Język <b>polski</b>:...100
,,caregiver2_other1,"Język <span class=""qLabel""><b>inny 1</b></span>:...101"
,,caregiver2_other2,"Język <span class=""qLabel""><b>inny 2</b></span>:...102"
,,caregiver2_other3,"Język <span class=""qLabel""><b>inny 3</b></span>:...103"
,,problem_read_write,Trudności głównie z czytaniem i ortografią:
,,problem_understand,"Trudności ze zrozumieniem, co mówią inni:"
,,problem_speak,"Trudności z mówieniem (wymowa, formułowanie zdań, znajdowanie właściwych słów, itp.)"
