"q1","q2","alternatywa","construction","typ","typ2"
"Czy Twoje dziecko dodaje ""-bym"", ""-byś"", ""-byście"" itp. do czasowników., np. ""Chciałbym cukierka""?",NA,"0","subjunctive","przypuszczający","przypuszczający"
"A. Dzisiaj umyjemy główkę.","B. Dzisiaj będziemy myć główkę.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Dzisiaj myjemy główkę.","B. Dzisiaj będziemy myć główkę.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Oni pojadą do babci.","B. Oni będą jechać do babci.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Oni jadą do babci.","B. Oni będą jechać do babci.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Wujek śpiewa piosenkę.","B. Wujek będzie śpiewać piosenkę.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Wujek zaśpiewa piosenkę.","B. Wujek będzie śpiewać piosenkę.","1","future_continuous","przyszły złożony","przyszły złożony"
"Czy Twoje dziecko używa słów ""będę"", ""będą"", ""będziemy"" itp. w zdaniach takich jak ""Oni będą jechać do babci"", ""Kasia będzie śpiewać piosenkę""?",NA,"0","future_continuous","przyszły złożony","przyszły złożony"
"A. Mama rysuje kotka.","B. Mama narysuje kotka.","1","future_simple","przyszły, prosty","przyszły, prosty"
"A. Oni idą do sklepu.","B. Oni pójdą do sklepu.","1","future_simple","przyszły, prosty","przyszły, prosty"
"A. Wieczorem jemy kolację.","B. Wieczorem zjemy kolację.","1","future_simple","przyszły, prosty","przyszły, prosty"
"A. Chowamy klocki.","B. Schowajmy klocki.","1","imperative","rozkazujący","rozkazujący"
"A. Schowamy klocki.","B. Schowajmy klocki.","1","imperative","rozkazujący","rozkazujący"
"A. Siadacie tutaj.","B. Siadajcie tutaj.","1","imperative","rozkazujący","rozkazujący"
"A. Umyjemy ząbki.","B. Umyjmy ząbki.","1","imperative","rozkazujący","rozkazujący"
"A. Myjemy ząbki.","B. Umyjmy ząbki.","1","imperative","rozkazujący","rozkazujący"
"A. Jest ładna pogoda i pójdziemy na spacer.","B. Jest ładna pogoda, więc pójdziemy na spacer.","2","complex-so","więc","więc"
"A. Jest ładna pogoda. Pójdziemy na spacer.","B. Jest ładna pogoda, więc pójdziemy na spacer.","2","complex-so","więc","więc"
"A. Jest ładna pogoda.","B. Jest ładna pogoda, więc pójdziemy na spacer.","1","complex-so","więc","więc"
"A. Jestem głodny(-a) i zjem banana.","B. Jestem głodny(-a), więc zjem banana.","2","complex-so","więc","więc"
"A. Jestem głodny(-a). Zjem banana.","B. Jestem głodny(-a), więc zjem banana.","2","complex-so","więc","więc"
"A. Jestem głodny(-a).","B. Jestem głodny(-a), więc zjem banana.","1","complex-so","więc","więc"
"A. Jestem zmęczony(-a). Idę spać.","B. Jestem zmęczony(-a), więc idę spać.","2","complex-so","więc","więc"
"A. Jestem zmęczony(-a) i idę spać.","B. Jestem zmęczony(-a), więc idę spać.","2","complex-so","więc","więc"
"A. Jestem zmęczony(-a).","B. Jestem zmęczony(-a), więc idę spać.","1","complex-so","więc","więc"
"Czy Twoje dziecko używa słowa ""więc"", żeby połączyć dwa zdania, np. ""Jest ładna pogoda, więc pójdziemy na spacer""?",NA,"0","complex-so","więc","więc"
"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?",NA,"0","complex-relative","względne, oo","względne"
"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?",NA,"0","complex-relative","względne, os","względne"
"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?",NA,"0","complex-relative","względne, so","względne"
"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?",NA,"0","complex-relative","względne, ss","względne"
"A. Tata zrobił zupę. Jem zupę.","B. Jem zupę, którą zrobił tata.","2","complex-relative-oo","względne, oo","względne"
"A. Jem zupę.","B. Jem zupę, którą zrobił tata.","1","complex-relative-oo","względne, oo","względne"
"A. Babcia dała mi książeczkę. Oglądam książeczkę.","B. Oglądam książeczkę, którą dała mi babcia.","2","complex-relative-oo","względne, oo","względne"
"A. Oglądam książeczkę.","B. Oglądam książeczkę, którą dała mi babcia.","1","complex-relative-oo","względne, oo","względne"
"A. Widzę ptaszki. Latają po niebie.","B. Widzę ptaszki, które latają po niebie.","2","complex-relative-os","względne, os","względne"
"A. Widzę ptaszki.","B. Widzę ptaszki, które latają po niebie.","1","complex-relative-os","względne, os","względne"
"A. Widziałem(-am) psa.","B. Widziałem(-am) psa, który szczekał.","1","complex-relative-os","względne, os","względne"
"A. Widziałem psa. Pies szczekał.","B. Widziałem(-am) psa, który szczekał.","2","complex-relative-os","względne, os","względne"
"A. Mama karmi ptaszka. Ptaszek jest żółty.","B. Ptaszek, którego karmi mama, jest żółty.","2","complex-relative-so","względne, so","względne"
"A. Ptaszek jest żółty.","B. Ptaszek, którego karmi mama, jest żółty.","1","complex-relative-so","względne, so","względne"
"A. Mama kupiła zabawkę. Zabawka lezy w szafie.","B. Zabawka, którą kupiła mama, leży w szafie.","2","complex-relative-so","względne, so","względne"
"A. Zabawka leży w szafie.","B. Zabawka, którą kupiła mama, leży w szafie.","1","complex-relative-so","względne, so","względne"
"A. Kolega rozlał wodę. Wytarł podłogę.","B. Kolega, który rozlał wodę, wytarł podłogę.","2","complex-relative-ss","względne, ss","względne"
"A. Kolega wytarł podłogę.","B. Kolega, który rozlał wodę, wytarł podłogę.","1","complex-relative-ss","względne, ss","względne"
"A. Pani uśmiecha się.","B. Pani, która ma pieska, uśmiecha się.","1","complex-relative-ss","względne, ss","względne"
"A. Pani ma pieska. Pani uśmiecha się.","B. Pani, która ma pieska, uśmiecha się.","2","complex-relative-ss","względne, ss","względne"
"A. Myję nogi.","B. Myję nogi, żeby były czyste.","1","complex-sothat","żeby","żeby"
"A. Myję nogi. Będą czyste.","B. Myję nogi, żeby były czyste.","2","complex-sothat","żeby","żeby"
"A. Podlałem(-am) kwiaty.","B. Podlałem(-am) kwiaty, żeby urosły.","1","complex-sothat","żeby","żeby"
"A. Zapalę światło.","B. Zapalę światło, aby widzieć.","1","complex-sothat","żeby","żeby"
"Czy Twoje dziecko używa słowa ""żeby"" (""aby"") w zdaniach takich jak ""Myję nogi, żeby były czyste""?",NA,"0","complex-sothat","żeby","żeby"
"A. Narysuj misia.","B. Chcę, żebyś narysowała misia.","1","complex-sothat_finite","żebyś","żebyś"
"A. Odkręć wodę. Umyję rączki.","B. Odkręć wodę, żebym umył(-a) rączki.","2","complex-sothat_finite","żebyś","żebyś"
"A. Odkręć wodę.","B. Odkręć wodę, żebym umył(-a) rączki.","1","complex-sothat_finite","żebyś","żebyś"
"A. Zapalę światło. Będziesz widział.","B. Zapalę światło, żebyś widział.","2","complex-sothat_finite","żebyś","żebyś"
"A. Zapalę światło.","B. Zapalę światło, żebyś widział.","1","complex-sothat_finite","żebyś","żebyś"
"Czy Twoje dziecko używa słów ""żebym"", ""żebyś"", ""abym"", ""abyś"" itp. w zdaniach takich jak: ""Chcę, żebyś narysowała misia"", ""Zapal światło, abym mógł widzieć""?",NA,"0","complex-sothat_finite","żebyś","żebyś"
